Ranking,Title,Rating,ReviewCount,Price,offer,sponsored,DeliveryDays,Sales
59,"DeLUX Wireless Vertical Mouse, Small Silent Ergonomic Mouse with BT 5.0 and USB Receiver, 6 Buttons and 4000 DPI, RGB Rechargeable Mouse for Carpal Tunnel (M618mini-Iron Gray)",4.3,392,32.99,,True,5,100
60,JLab Epic Wireless Keyboard | Black | 108 Keys | Connect Via Bluetooth or USB Wireless Dongle | Multi-Device Toggle | Soft Touch Keys | Smart Media Knob | Custom User Profiles | Rechargeable (16 Pack),4.2,112,938.4,,True,4,
61,"Wireless Keyboard and Mouse Combo, Colorful Ergonomic Full Size Retro Low-Noise Keyboard with Cute keycaps, Compatible with Windows, PC, Perfer for Home and Office Keyboards (Purple)",4.4,846,38.99,5,True,5,100
62,"Backlit Wireless Ergonomic Keyboard USB Split Keyboard with Wrist Rest and Comfortable Typing, 104 Keys, 10 Shortcuts for Windows, Mac and Laptop PC Computer",3.2,6,39.99,,True,5,100
63,"MOFII Wireless Keyboard and Mouse Combo,2.4GHz Retro Full-Size Keyboard with Number Pad and Cute Mouse for Computer PC Desktops Laptop WindowsxP/7/8/10(Milk Tea Colorful-B)",4.4,5682,39.99,,False,5,1000
64,"Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Swift Gray",4.5,28685,14.16,,False,5,10000
65,Dell KM7120W Keyboard & Mouse,4.4,405,73.2,,False,5,100
66,"HP 650 Wireless Keyboard & Mouse Combo - 2.4Ghz Wireless, USB Receiver, Low-Profile Keys, 20+ Programmable Keys, DPI Mouse - 20+ Months Keyboard, 24+ Mouse Battery - Win, Chrome, MacOS (4R013AA#ABL)",4.4,161,52.99,,False,5,200
67,"Logitech Wireless Keyboard and Wireless Mouse Combo with NEW Unifiying Receiver Technology and Long-Range 2.4 GHz Connection, Multimedia Hot Keys, Extended Battery Life",3.7,34,36.29,,False,4,50
68,"Logitech MX Master 2S Bluetooth Edition Wireless Mouse – Use on Any Surface, Hyper-Fast Scrolling, Ergonomic, Rechargeable, Control Up to 3 Apple Mac and Windows Computers - Graphite",4.6,15542,59.82,,False,5,3000
69,"TECKNET Wireless Keyboard and Mouse Combo, Mini Cordless Computer Keyboard and Mouse Set 2.4GHz, Silent Adjustable 1600 DPI, Quiet Click, Lag-Free for Computer, Laptop, PC, Windows, Mac, Chrome OS",4.5,1920,20.99,,False,5,300
70,"Wireless Keyboard and Mouse Backlit, 2.4GHz Lag-Free Rechargeable Keyboard Full-Size with Phone Holder Tablet Holder, Silent Ergonomic Wireless Keyboard Mouse Combo for Computer, PC, Laptop",4.2,1587,35.99,,False,5,50
71,"Wireless Keyboard and Mouse Combo, 2.4G Silent Cordless Keyboard Mouse Combo for Windows Chrome Laptop Computer PC Desktop, 106 Keys Full Size with Number Pad, 1600 DPI Optical Mouse (Black)",4.3,1899,21.99,,False,5,3000
72,"Wired Keyboard and Mouse, Large Print Backlit Keyboard with Wrist Rest and 7-Color Backlit, Lighted Computer Keyboards Easy to See, Light Up USB Keyboard Mouse Combo for PC, Windows, Laptop SABLUTE",4.5,302,29.99,10,False,5,500
73,"X9 Performance Large Print Lighted Keyboard and Mouse - USB Wired Keyboard and Mouse Combo - Large Letter Backlit Keyboard and Mouse Combo for Elderly, Low Vision, Visually Impaired",4.2,142,27.99,,False,5,100
74,"Verbatim Slimline Wired Keyboard and Mouse Combo USB Plug-and-Play Numeric Keypad Adjustable Tilt Legs Optical Corded Mouse Full-Size Computer Keyboard Compatible with PC, Laptop - FFP Packaging Black",4.4,9001,13.7,,False,5,400
