PageLink,ThumbnailLink,ArtistName,ArtistForwardName,ArtistLink,Role,Title,Created,Medium,Credit,CreditLink,Accession,OnView,FullResImage
https://www.nga.gov/content/ngaweb/collection/art-object-page.42411.html,"https://media.nga.gov/iiif/dd13d1cc-bf38-4b47-af1a-acca45a89c18/full/!384,384/0/default.jpg",Ralph Eleaser Whiteside Earl,Ralph Eleaser Whiteside Earl,https://www.nga.gov/content/ngaweb/collection/artist-info.1262.html,,Family Portrait,1804,oil on canvas,Gift of Edgar William and Bernice Chrysler Garbisch,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Gift%20of%20Edgar%20William%20and%20Bernice%20Chrysler%20Garbisch,1953.5.8,Not on View,https://media.nga.gov/iiif/dd13d1cc-bf38-4b47-af1a-acca45a89c18/full/full/0/default.jpg?attachment_filename=family_portrait_1953.5.8.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.568.html,"https://media.nga.gov/iiif/b84437a4-537d-4830-af61-766dfccd5daa/full/!384,384/0/default.jpg",Gilbert Stuart,Gilbert Stuart,https://www.nga.gov/content/ngaweb/collection/artist-info.1911.html,(painter),John Randolph,1804/1805,oil on canvas,Andrew W. Mellon Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Andrew%20W.%20Mellon%20Collection,1940.1.9,"On View : West Building, Ground Floor — Gallery G42-A",https://media.nga.gov/iiif/b84437a4-537d-4830-af61-766dfccd5daa/full/full/0/default.jpg?attachment_filename=john_randolph_1940.1.9.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.1119.html,"https://media.nga.gov/iiif/85f95023-3e29-4b78-b642-46acbf074255/full/!384,384/0/default.jpg",Gilbert Stuart,Gilbert Stuart,https://www.nga.gov/content/ngaweb/collection/artist-info.1911.html,(painter),William Thornton,1804,oil on canvas,Andrew W. Mellon Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Andrew%20W.%20Mellon%20Collection,1942.8.25,"On View : West Building, Ground Floor — Gallery G42-A",https://media.nga.gov/iiif/85f95023-3e29-4b78-b642-46acbf074255/full/full/0/default.jpg?attachment_filename=william_thornton_1942.8.25.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.45966.html,"https://media.nga.gov/iiif/c3b58e2e-cd07-454a-9508-9183645a25d7/full/!384,384/0/default.jpg",Benjamin Greenleaf,Benjamin Greenleaf,https://www.nga.gov/content/ngaweb/collection/artist-info.5520.html,(painter),Lady in a White Mob Cap,c. 1805,oil on canvas,Gift of Edgar William and Bernice Chrysler Garbisch,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Gift%20of%20Edgar%20William%20and%20Bernice%20Chrysler%20Garbisch,1959.11.12,Not on View,
https://www.nga.gov/content/ngaweb/collection/art-object-page.56735.html,"https://media.nga.gov/iiif/dcd26a0e-c76a-4a81-896c-1798465ecf80/full/!384,384/0/default.jpg",Joshua Johnson,Joshua Johnson,https://www.nga.gov/content/ngaweb/collection/artist-info.1425.html,,Mr. Baylor,c. 1805,oil on canvas,Gift of Edgar William and Bernice Chrysler Garbisch,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Gift%20of%20Edgar%20William%20and%20Bernice%20Chrysler%20Garbisch,1978.80.8,Not on View,
https://www.nga.gov/content/ngaweb/collection/art-object-page.195385.html,https://www.nga.gov/content/dam/ngaweb/placeholders/placeholder-sm.svg,Sir Henry Raeburn,Sir Henry Raeburn,https://www.nga.gov/content/ngaweb/collection/artist-info.1811.html,(painter),Mrs. Vere of Stonebyres,c. 1805,oil on canvas,Corcoran Collection (William A. Clark Collection),https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Corcoran%20Collection%20(William%20A.%20Clark%20Collection),2014.136.40,Not on View,
https://www.nga.gov/content/ngaweb/collection/art-object-page.52953.html,"https://media.nga.gov/iiif/e236ab29-756f-4eb6-a7a8-00b534b40aa8/full/!384,384/0/default.jpg",Joshua Johnson,Joshua Johnson,https://www.nga.gov/content/ngaweb/collection/artist-info.1425.html,,Sarah Ogden Gustin,c. 1805,oil on canvas,Gift of Edgar William and Bernice Chrysler Garbisch,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Gift%20of%20Edgar%20William%20and%20Bernice%20Chrysler%20Garbisch,1971.83.7,"On View : West Building, Main Floor — Gallery 63",https://media.nga.gov/iiif/e236ab29-756f-4eb6-a7a8-00b534b40aa8/full/full/0/default.jpg?attachment_filename=sarah_ogden_gustin_1971.83.7.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.166457.html,"https://media.nga.gov/iiif/9693cf05-1a96-4da7-ab21-dfa2f10e81b6/full/!384,384/0/default.jpg",Joshua Johnson,Joshua Johnson,https://www.nga.gov/content/ngaweb/collection/artist-info.1425.html,(painter),"Grace Allison McCurdy (Mrs. Hugh McCurdy) and Her Daughters, Mary Jane and Letitia Grace",c. 1806,oil on canvas,"Corcoran Collection (Museum Purchase through the gifts of William Wilson Corcoran, Elizabeth Donner Norment, Francis Biddle, Erich Cohn, Hardinge Scholle and the William A. Clark Fund)","https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Corcoran%20Collection%20(Museum%20Purchase%20through%20the%20gifts%20of%20William%20Wilson%20Corcoran,%20Elizabeth%20Donner%20Norment,%20Francis%20Biddle,%20Erich%20Cohn,%20Hardinge%20Scholle%20and%20the%20William%20A.%20Clark%20Fund)",2014.136.146,"On View : West Building, Main Floor — Gallery 63",https://media.nga.gov/iiif/9693cf05-1a96-4da7-ab21-dfa2f10e81b6/full/full/0/default.jpg?attachment_filename=grace_allison_mccurdy_%28mrs._hugh_mccurdy%29_and_her_daughters%2C_mary_jane_and_letitia_grace_2014.136.146.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.110280.html,"https://media.nga.gov/iiif/a3d2edaa-6b3e-408f-ac3a-cba8459b6f9b/full/!384,384/0/default.jpg",Benjamin Marshall,Benjamin Marshall,https://www.nga.gov/content/ngaweb/collection/artist-info.1642.html,(painter),"J.G. Shaddick, the Celebrated Sportsman",1806,oil on canvas,Paul Mellon Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Paul%20Mellon%20Collection,1999.79.24,"On View : West Building, Main Floor — Gallery 59",https://media.nga.gov/iiif/a3d2edaa-6b3e-408f-ac3a-cba8459b6f9b/full/full/0/default.jpg?attachment_filename=j.g._shaddick%2C_the_celebrated_sportsman_1999.79.24.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.95.html,"https://media.nga.gov/iiif/f3ce4ceb-a752-4880-8615-0e6a87f34679/full/!384,384/0/default.jpg",Francisco Goya,Francisco Goya,https://www.nga.gov/content/ngaweb/collection/artist-info.1353.html,,Señora Sabasa Garcia,c. 1806/1811,oil on canvas,Andrew W. Mellon Collection,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Andrew%20W.%20Mellon%20Collection,1937.1.88,Not on View,https://media.nga.gov/iiif/f3ce4ceb-a752-4880-8615-0e6a87f34679/full/full/0/default.jpg?attachment_filename=senora_sabasa_garcia_1937.1.88.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.38935.html,"https://media.nga.gov/iiif/3bce5798-6a21-4b3c-b8d7-bd883928df1d/full/!384,384/0/default.jpg",John Wesley Jarvis,John Wesley Jarvis,https://www.nga.gov/content/ngaweb/collection/artist-info.1417.html,,Thomas Paine,c. 1806/1807,oil on canvas,Gift of Marian B. Maurice,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Gift%20of%20Marian%20B.%20Maurice,1950.15.1,Not on View,https://media.nga.gov/iiif/3bce5798-6a21-4b3c-b8d7-bd883928df1d/full/full/0/default.jpg?attachment_filename=thomas_paine_1950.15.1.jpg
https://www.nga.gov/content/ngaweb/collection/art-object-page.103611.html,"https://media.nga.gov/iiif/b24c3404-19bd-43ec-92f6-a0fa586b6c9a/full/!384,384/0/default.jpg",Simon Denis,Simon Denis,https://www.nga.gov/content/ngaweb/collection/artist-info.13618.html,(painter),View near Naples,c. 1806,oil on paper on canvas,Chester Dale Fund,https://www.nga.gov/content/ngaweb/collection-search-result.html?artobj_credit=Chester%20Dale%20Fund,1998.21.1,Not on View,https://media.nga.gov/iiif/b24c3404-19bd-43ec-92f6-a0fa586b6c9a/full/full/0/default.jpg?attachment_filename=view_near_naples_1998.21.1.jpg
