projectName,plotBearing,street,locality,lat,lon,CertificateNo,project_Village,project_Taluka,project_District,project_Division,project_State,pincode,
SAMARTH HEIGHTS,PLOT NO 31 TO 36,Not Available,Not Available,18.7552105,73.4445392,P51500012554,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
DISCOVERY PHASE - II,101 100 1 102 100 2  106,DELLA  ADVENTURE ROAD,"KUNENAMA, KUNEGAON",18.7786409391347,73.3829462932865,P52100002302,Kune N.m.,Mawal,Pune,Pune,MAHARASHTRA,410401,
EKDANT DEVELOPERS,CTS NO 368 TO 374,Not Available,Not Available,19.2116805,73.0907,P51700001682,DOMBIVLI,Kalyan,Thane,Konkan,MAHARASHTRA,421201,
SHAMIT OCTOZONE SUNDER SIDDHI,Gut No 45,Not Available,Not Available,19.2116805,73.0907,P51500011267,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
PRAGATI PHASE III,221/1/B,Jatwada Road,Honaji nagar,19.9181590718991,75.3411361924515,P51500012353,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Nishant Iken Phase 2,1084/2,Not Available,Not Available,21.1813598,79.0136475,P51600008609,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
IMPRESSA SKY HOMES,"KH NO 2 AND 5 PART, CTS NO 511/1 SHEET NO 16",MANKAPUR,MANKAPUR,21.1870173801901,79.0757721950525,P50500010028,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440013,
R M Dhariwal Greens Yavatmal Phase 4 - Oakwood Residency,"Plot No - 1 , S No - 30/1 , 30/2, 30/3 , 30/4/2",Dhamangaon Bye pass Road,Yavatmal,20.4097544857054,78.1444595944428,P51000024031,Yavatmal (M Cl),Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445001,
DEV PRIDE APARTMENT,"SURVEY NO. 248/4A/B1/B2, PLOT NO 2",Not Available,Not Available,21.1157472,79.0447306,P51600010024,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422004,
GALAXY PRAYAG,29,NAGPUR,NAGPUR,21.1157472,79.0447306,P50500010247,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440022,
NAKSHATRA RESIDENCY,231/2,WARUDA ROAD SAMARTH NAGAR,OSMANABAD,21.1157472,79.0447306,P52500011272,Osmanabad,Osmanabad,Osmanabad,Aurangabad,MAHARASHTRA,413501,
SAMARTH ANNEX,226/1/1/1/35,Not Available,Not Available,18.51875,73.931123,P51600006646,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
UTSAV RESIDENCY,"CTS NO 12043, 12044, 12045",Not Available,Not Available,18.51875,73.931123,P51400013069,Jalna (M Cl),Jalna,Jalna,Aurangabad,MAHARASHTRA,431203,
Vishal Greens,"28/6/1A/1B, 28/6/1/A/1A/2",Not Available,Not Available,18.51875,73.931123,P52100004064,Hadapsar,Haveli,Pune,Pune,MAHARASHTRA,411028,
HILL WOODS,"102,103,104,105,106/2,106/3,107,120/3",Not Available,Not Available,17.8317572,73.7330753,P51600009809,Deolali (CB),Nashik,Nashik,Nashik,MAHARASHTRA,422401,
KASLIWAL NIWARA PHASE I,GUT NO. 718,CHIKALTHANA,CHIKALTHANA,17.8317572,73.7330753,P51500009113,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
MAHARAJA VALLEY,"62/6,62/1K/7,62/8,62/9,62/10,62/10,62/12,62/13,62/14",Not Available,Not Available,17.8317572,73.7330753,P52700000243,Kuroshi,Mahabaleshwar,Satara,Pune,MAHARASHTRA,412806,
