projectName,plotBearing,street,locality,lat,lon,CertificateNo,project_Village,project_Taluka,project_District,project_Division,project_State,pincode,
Nakshatra A-B,54/8,Our Lady school Road Samrvarni,Krishna Company  Road,20.2583996,73.0139616,P49600000067,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SWASTIK SPIRA,75,Not Available,Not Available,18.683553,73.829685,P52100003757,Pimpri Chinchawad (M Corp.),Haveli,Pune,Pune,MAHARASHTRA,411062,
Laxmi Nagar Phase II,4 to 12 and 17 to 20,Shendraban,Shendra MIDC,18.6962184,73.7830861,P51500005250,Shendraban,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431210,
ATHARVA SANSKRUTI,PLOT NO 5 SR NO 634,Not Available,Not Available,19.990254,73.780154,P51600000801,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
NAKSHATRA C to G,54/8,KRISHNA COMPANY ROAD,SAMARVANI AREA,20.2583996,73.0139616,P49600000069,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
RANTHAMBORE CITY PHASE I,"OUT OF PLOT NO 1 ,SN 9/2 10/1A",Not Available,Not Available,20.853092,77.731577,P50300002827,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444701,
JAJOO NAIKS AMAR VRINDAVAN APARTMENT,Plot No 29 Sector P45A NH Vaishakh ,UNTWADI TO AMABDPOLICE STATION RAOD ,TRIMURTI CHOWCK ,19.9974533,73.7898023,P51600008287,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422005,
Om Varco Regency Phase-1,45D/Plot No 11,Not Available,Not Available,21.1775074,79.0899245,P51000003720,Yavatmal (M Cl),Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445001,
Pritam Apartment,1A,Not Available,Not Available,21.1775074,79.0899245,P50500004788,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440014,
EKTA GREENVILLE PHASE 1 WING I  AND J,SURVEY NO 231 AT PATHARDI NASHIK,Not Available,Not Available,19.943503,73.754561,P51600001224,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422010,
Construction of 96Ts EWS 36Ts MIG 8 Shops and 4 Office Chambers at site No 125 Datala New Chandrapur,125,datala,datala,19.96868611,79.25652222,P50900001085,Datala,Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442401,
Varad Vinayak Apartment,"22,23,24,25,26/581/2A,2B",Not Available,Not Available,19.2576763,76.7737167,P51300002328,Parbhani (M Cl),Parbhani,Parbhani,Aurangabad,MAHARASHTRA,431401,
MANHAR RESIDENCY,9 - 10,b p road,Dahisar west,19.254923,72.854594,P51800002057,Borivali,Borivali,Mumbai Suburban,Konkan,MAHARASHTRA,400068,
Vastu Shilp,"577, 578",Not Available,Not Available,19.850418,75.257878,P51500002776,Tisgaon,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431102,
KETAKI HEIGHTS,2050,Not Available,Not Available,19.621745,74.658096,P52200001135,Shrirampur (M Cl),Shrirampur,Ahmednagar,Nashik,MAHARASHTRA,413709,
BELA GAT NO 200,GAT NO 200,Not Available,Not Available,21.1683936,79.6561387,P50600003666,Bhandara (M Cl),Bhandara,Bhandara,Nagpur,MAHARASHTRA,441904,
SHAKTI UNICUS,7B/4,Not Available,Not Available,19.04906,72.921728,P51800004839,Greater Mumbai (M Corp.) (Part) (802794),Mumbai,Mumbai Suburban,Konkan,MAHARASHTRA,400088,
Amrit Sarita,"P.No 92, CTS No 381, Mouza Ambazari,",Not Available,Not Available,19.1538231,72.8751786,P50500001628,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
Sheetal Residency Building No 1,1419/1/2A and 1419/2/2A Plot No 1,Not Available,Not Available,19.1538231,72.8751786,P51600002772,,PALSE,Nashik,Nashik,Nashik,MAHARASHTRA,422101
Ayeshakiran Township,14759,Not Available,Not Available,19.853823,75.852189,P51400004767,Jalna (M Cl),Jalna,Jalna,Aurangabad,MAHARASHTRA,431203,
Orchard Meadow,"S. no 786, Plot no 12",GOVIND NAGAR ROAD,GOVIND NAGAR,19.989529,73.769144,P51600008737,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422008,
Arihant Platino,"CTS NO. 220,2201,2202,221,222,2221 ",Not Available,Not Available,16.989328,73.316538,P52800000027,Nachane (CT),Ratnagiri,Ratnagiri,Konkan,MAHARASHTRA,415612,
Rachana 24 Carat,Plot no 87/CTS no 1047/Final plot no 87,Canal Road,RAMDASPETH,16.9899612,73.3287593,P50500002136,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
LOTUS PARK APARTMENT,"PLOT NO. 05, S.NO. 417/3A/3B/3C/3D",Not Available,Not Available,20.050346,73.77782,P51600004238,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
MADHUBAN APARTMENT,PLOT NO 1 S NO 55/2 55/3 CHAURANA BUDRUK AHMEDNAGAR,Not Available,Not Available,18.6742528,73.7301331,P52200003164,Ahmadnagar (M Corp.),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414001,
Sai Kunj,13 1A 2,Not Available,Not Available,18.6742528,73.7301331,P52100000015,Pimpri Chinchawad (M Corp.),Haveli,Pune,Pune,MAHARASHTRA,412101,
Chaitanya Heights,141,Not Available,Not Available,19.910476,75.341676,P51500013505,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
PADMAVATI ENCLACE PHASE III,2/2/1,MANDONI ROAD,KHANVEL,20.1248408811449,73.068800794226,P49600000078,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
VIDARBHAPREMIER NAGRI YAVATMAL,12/2A,WADGAON ROAD,WADGAON ,20.372945,78.103691,P51000011689,Wadgaon (CT),Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445002,
"Daffodil Highs, Unity Studio Apartments and Eternity Villa","Khasra No 162, 163, 123/2 and 120/2",Not Available,Not Available,21.015546,79.008011,P50500001342,Kothewada,Hingna,Nagpur,Nagpur,MAHARASHTRA,441122,
Durvankur Apartment,68/2/13,Not Available,Not Available,18.6103179,73.7889689,P52100000784,Pimpri Chinchawad (M Corp.),Haveli,Pune,Pune,MAHARASHTRA,411017,
SARA SWAPNANGAN - ROW HOUSES,"GUT NO. 93-P, GUT NO. 95-P",Not Available,Not Available,19.889152,75.474281,P51500001944,Gangapur Jahagir,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431007,
Neel Vihar Wing c,3,Not Available,Not Available,21.087471,79.134924,P50500003714,Narsala,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440034,
SMARTCITY,"Plot no 2 , Gut no 70",MAHARASHTRA,VASMAR TOAD,19.250622,76.81823,P51300012107,Karegaon,Parbhani,Parbhani,Aurangabad,MAHARASHTRA,431402,
SHABNAM COMPLEX,"3,4",Not Available,Not Available,20.528666,76.209155,P50000006049,Sundar khed (CT),Buldana,Buldana,Amravati,MAHARASHTRA,443001,
GP TOWER,"174/2,119,175/1,175/2,175/3",Not Available,Not Available,21.172336,79.652615,P50600012727,Bhandara (M Cl),Bhandara,Bhandara,Nagpur,MAHARASHTRA,441904,
Parvatinagar,"Gut No.112 Part, Shendra Jahangir, Tq and Dist Aurangabad",Not Available,Not Available,21.0817527,79.1192644,P51500012918,Shendra Kamangar,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431003,
VITTHALARPAN RESIDENCY-B,"PLOT NO 5-A,5-B,6,7",Not Available,Not Available,21.0817527,79.1192644,P50300004073,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444607,
Pyramid City 6,P.H No - 38,Not Available,Not Available,21.083229,79.106831,P50500004036,Pipla,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440037,
OMKAR MEADOWS,PLOT NO 81 RADHESHWARI NAGAR SOCIETY WAGHOLI PUNE 412207,Not Available,Not Available,18.579856,73.994908,P52100000144,WAGHOLI,Haveli,Pune,Pune,MAHARASHTRA,412207,
"SARA SWAPNANGAN - A4, A5, A6 BUILDINGS","GUT NO. 93-P, GUT NO. 95-P",SHENDRA,MIDC,19.889375,75.474093,P51500001363,Gangapur Jahagir,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431007,
Maniganesh Tower,"Plot Number 148-4, Sheet Number 49C",Not Available,Not Available,20.39313,78.136214,P51000008147,Yavatmal (M Cl),Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445001,
ATHARVA NAGARI IV,PNO R3 R6,Not Available,Not Available,21.080102,79.119774,P50500002049,Pipla,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440034,
VITTHALRUKMINI APPARTMENT NO 9,SURVEY NO 18/1 LAYOUT PLOT NO 10,Kaulkhed Road,Behind ST Work Shop,20.679312,77.038077,P50100004831,Akola (M Corp.),Akola,Akola,Amravati,MAHARASHTRA,444005,
PAWAN SUT APARTMENT,"Plot No. 10, CTS No. 70/1",Not Available,Not Available,20.7247951,77.0391754,P51600013796,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422008,
Sugam  Cooperative  Housing Society Limited,CTS no 139 S No 36 Plot No 3,Erandwane,Erandwane,18.503223,73.82476,P52100012123,Pune (M Corp.),Pune City,Pune,Pune,MAHARASHTRA,411038,
ADARSH RESIDENCY,"MOUJE JEVAD, SURVEY NO 48",Not Available,Not Available,18.5165691,73.8036752,P50300004588,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
SWAPNIL PARIJAT,PLOT NO 107 CTS NO 27/455 SHEET NO 27,Not Available,Not Available,21.137479,79.057448,P50500012134,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
LAMBODAR RESIDENCY,GUT 83 PART,-,DEOLAI,19.839922,75.35436,P51500004619,Devlai,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431002,
Vrindavan Phase 1,"Plot No 1/2/4/5/6/7 of Layout on Kh No 248,257/2,258",Vrindavan Marg,Vrindavan,21.0150991337894,79.0158851603028,P50500002672,Jamtha,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441122,
DREAMZ PARK WING A,2,Not Available,Not Available,20.918665,77.741865,P50300007239,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444605,
"PLOT NO.4, PATHAK-GREENS",PLOT NO 4/KH NO 44-1,Not Available,Not Available,21.0333937,78.954279,P50500002972,Gotal Panjari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
VYANKATESH PRIDE,GUT NO 138 PART,Not Available,Not Available,18.4910963,73.8229306,P51500002419,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431003,
Gopalkrupa,1170/8,Off J.M. Road,Bhamburda,18.525633,73.849143,P52100003479,Karve Nagar,Haveli,Pune,Pune,MAHARASHTRA,411005,
Anmol Nayantara City One Phase 3,"785/ 1 2 3/1 ,785/1 2 3/6,785/1 2 3/3/3,785/1 2 3/3/1,778/1C,778/2B P,785/1 2 3/9,784/2,785/1 2 3/10",Not Available,Not Available,19.988938,73.772225,P51600000354,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422008,
DREAMZ PARK WING B,1,Not Available,Not Available,20.918524,77.741846,P50300005712,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444605,
VEDA PRIVE II,"Plot No 126 to 131 /363-1,2,3,4, 364-1,2, 365, 366-1,2,3 and 367",Not Available,Not Available,19.075133,74.735793,P52200000360,Ahmadnagar (M Corp.),Nagar,Ahmednagar,Nashik,MAHARASHTRA,414001,
ANAND TOWER,6,Radhika Hotel,Collector Banglow,19.8799355,75.3324723,P50000010006,buldana (MCL),Buldana,Buldana,Amravati,MAHARASHTRA,443001,
BHUVI VRUNDAVAN - 1,"Gut No 150, Khumbhephal, Aurangabad",Village Road,Kumbhefal,19.8799355,75.3324723,P51500003772,Kubhephal,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Anshul Aarush A building and B building,21/15,Not Available,Not Available,19.619403,74.632246,P52200000814,Dattanagar,Shrirampur,Ahmednagar,Nashik,MAHARASHTRA,413709,
VIMACO GULMOHAR CONDOMINIUM,"SHEETA NO. 18-C, NAZUL PLOT NO. 1",Not Available,Not Available,19.867598,75.4985521,P50300006416,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
VRUNDAVAN,GUT NO 330,MAIN ROAD,NEAR ZP SCHOOL,19.867598,75.4985521,P51500003771,Kubhephal,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431201,
KRISHNA HEIGHTS,SURVEY NO. 94/1,AMLI,AMLI,20.284751,72.996515,P49600000079,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396193,
GURU SAI COMPLEX,"PLOT NO 6,7 CTS NO 15847/173,174",Not Available,Not Available,21.0333937,78.954279,P51500004148,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
KASTURI NAGAR,43/2,Not Available,Not Available,21.060675,79.08315,P50500002773,Gotal Panjari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441108,
SAI HARDIK HEIGHTS,"PLOT NO 1 GUT NO 13/2/2 AND 13/2/3,KANCHANWADI",Not Available,Not Available,18.5817469,73.9817056,P51500002507,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
Manhattan,Gat no 569,Not Available,Not Available,18.587686,73.989612,P52100000291,WAGHOLI,Haveli,Pune,Pune,MAHARASHTRA,412207,
Dhumravarna Heights,"6/2, 289, 28/10, ",Not Available,Not Available,21.130098,79.078992,P50500006544,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440012,
OM VRUNDAVAN,GUT NO 105 TISGAON,Not Available,Not Available,19.863306,75.263672,P51500003613,Tisgaon,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431102,
HARI SAGAR,"S NO 99A/1, PLOT NO 3,4,5,7,8,9,10,11,12,13",Lam road,Deolali,19.914265,73.831056,P51600000630,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422401,
K-SQUARE APARTMENTS,KH NO 65/3 CTS NO 512 512/2 ,Not Available,Not Available,21.104287,79.077098,P50500003259,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440015,
Vishwa Prestige,"Plot no. 5A  6 ,R.S. NO 924, Hissa No. 2, A Ward, Devkar Panand, Kolhapur",Not Available,Not Available,19.0893148,72.9078057,P53000001706,Kolhapur (M Corp.),Karvir,Kolhapur,Pune,MAHARASHTRA,416012,
Neelyog Veydaanta,"3990p  3996p,3997p,3998p,3999p,4000,4001,4002p,4002A",Andheri-Ghatkopar Link Road,Nityananad Nagar,19.090941,72.913645,P51800001645,Kurla,Kurla,Mumbai Suburban,Konkan,MAHARASHTRA,400086,
HARI SANSKRUTI PHASE II,S No 259/1 part and 259/2 part,Kharjurmala,Nashik,19.9391753069509,73.8469298111839,P51600000551,Deolaligaon,Nashik,Nashik,Nashik,MAHARASHTRA,422101,
ARIHANT BUSINESS CENTER,GUT NO 109 AND 112,BEED BY PASS ROAD,"GUT NO 109, OPP. MADHUBAN HOTEL, DEOLAI",19.850105,75.366051,P51500005697,Satara (CT),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431002,
HARI BHAKTI,Survey No 37/1B and 37/1C,Datta Mandir road,Datta Mandir road,19.9479277977197,73.834180393779,P51600000585,Deolali (CB),Nashik,Nashik,Nashik,MAHARASHTRA,422101,
SOLITAIRE,36/254/,Not Available,Not Available,21.150653,79.1294516,P50500012837,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440008,
DREAM CITY PROJECT- PHASE I,"127/1/2, 24,25,26,27",Not Available,Not Available,21.18182,79.62323,P50600010003,Khokurla,Bhandara,Bhandara,Nagpur,MAHARASHTRA,441904,
YASH TOWER,13156/1,Not Available,Not Available,19.881345,75.325848,P51500001341,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Anmol Nayantara City One phase 4,"785/ 1 2 3/1 ,785/1 2 3/6,785/1 2 3/3/3,785/1 2 3/3/1,778/1C,778/2B P,785/1 2 3/9,784/2,785/1 2 3/10",Not Available,Not Available,19.990894,73.772431,P51600000299,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422008,
Pyramid City 3,155/3,Not Available,Not Available,21.083257,79.107382,P50500004416,Pipla,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440010,
Tirupati Plaza,9126,Not Available,Not Available,19.841343,75.887783,P51400002779,Jalna (M Cl),Jalna,Jalna,Aurangabad,MAHARASHTRA,431213,
Tulsi Developers,Part of Survey No 40B2 CTS No 10009 and 10010,Not Available,Not Available,19.173562,77.318351,P51100005078,Nanded Waghala (M Corp.),Nanded,Nanded,Aurangabad,MAHARASHTRA,431605,
Shri Govinda Imperial,"182/1 ,182/1-A ,193/1-A",Not Available,Not Available,19.2066982,77.2979782,P50300002973,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444604,
Wallfort Garden,Final Plot No. 78 Pt 10 and 11,Not Available,Not Available,19.2066982,77.2979782,P51600013498,Malegaon (M Corp.),Malegaon,Nashik,Nashik,MAHARASHTRA,423203,
KASTURI FLORIDUS,SURVEY NO 184/1/6,SILVASSA BHILAD MAIN ROAD,SILVASSA,20.271171,72.995108,P49600000081,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Anmol Nayantara City One phase 2,"785/ 1 2 3/1 ,785/1 2 3/6,785/1 2 3/3/3,785/1 2 3/3/1,778/1C,778/2B P,785/1 2 3/9,784/2,785/1 2 3/10",Not Available,Not Available,19.988926,73.772235,P51600000565,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422008,
SANGATH,"S.NO.54/2,54/3,54/4 AND 30/1/1",KRISHNA COMPANY ROAD,SAMARVARNI,20.258239,73.0141,P49600000083,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Daga Sapphire Infinity,"Sheet No. 37, Plot No. 8/1",CAMP ROAD,CAMP,20.935839,77.767662,P50300007253,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
UTSAV HOMES 3 - PHASE 1,336/4,DSK RANWARA ROAD,PATIL NAGAR,18.521274779071,73.7719671024468,P52100001709,Bavadhan BK,Mulshi,Pune,Pune,MAHARASHTRA,411021,
Anmol Nayantara City One Phase 1," 785/ 1 2 3/1 ,785/1 2 3/6,785/1 2 3/3/3,785/1 2 3/3/1,778/1C,778/2B P,785/1 2 3/9,784/2,785/1 2 3/1",Not Available,Not Available,19.988955,73.772529,P51600000539,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422008,
OM SAHIL SOLITAIRE,441 442 446 450 451 452 453,Not Available,Not Available,18.990475,72.852523,P51900010839,FSouth-400015,Ward FSouth,Mumbai City,Konkan,MAHARASHTRA,400015,
Dreamzland Business Park Phase I,87/88/119/113P/134/135/138/139/140/142 /142 P,Not Available,Not Available,20.986807,77.801302,P50300004385,Borgaon,Amravati,Amravati,Amravati,MAHARASHTRA,444901,
Serenity Heights,662/5,SAKI VIHAR ROAD,SAKI NAKA,19.112426,72.886383,P51800002492,Kurla,Kurla,Mumbai Suburban,Konkan,MAHARASHTRA,400072,
LAIJAI NAGARI 14/A/1,14/A/1,Not Available,Not Available,19.178814,77.264421,P51100002964,Wadi Bk.,Nanded,Nanded,Aurangabad,MAHARASHTRA,431605,
atharva heights,"4329,4330,4331,4332",Not Available,Not Available,19.984855,79.246692,P50900003508,Chandrapur (M Cl),Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442402,
Dreamzland Business Park Phase II,"87,88,119 p,113,134,135,138,139,140,142 144 p",Not Available,Not Available,20.986079,77.801172,P50300004985,Borgaon,Amravati,Amravati,Amravati,MAHARASHTRA,444901,
AARYA VASTU,PLOT NO 9 AND 10 GUT NO 178,Not Available,Not Available,19.8640215,75.263948,P51500001963,Tisgaon,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
THE VIDARBHA PREMIER AMBANAGRI KIRAN NAGAR AMRAVTI,KHASRA NO 21,NEAR OLD BYE PASS,KIRANNAGAR,20.89408,77.764382,P50300013412,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
DEOGIRI VRINDAVAN,GUT NO 136,Holkar nagar road,HARSUL,19.838632,75.327189,P51500004708,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
"EKTA GREENVILLE PHASE 2 WING O , P , Q AND R",S NO 231 AT PATHARDI NASHIK,Not Available,Not Available,19.94358,73.754097,P51600000685,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422010,
Shree Durga Apartment,2126 A,Not Available,Not Available,21.146986,79.161046,P50500001801,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440035,
GURUKRUPA RESIDENCY,26,Not Available,Not Available,19.843839,75.298931,P51500007236,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
SHAHS GARDEN RESIDENCY PHASE II,S NO 54/2  BHAGUR,Not Available,Not Available,19.882443,73.847154,P51600001356,Bhagur Rural,Nashik,Nashik,Nashik,MAHARASHTRA,422502,
YOGI MILAN PHASE IV,261/1,SUB JAIL ROAD,SILVASSA,20.279698,72.990759,P49600000084,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
VYANKATESH DEV RESIDENCY,"9/2, 10/1, 10/2, 10/3",Not Available,Not Available,20.927037,77.766328,P50300011184,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444605,
SHRIKRUSHNA BUILDERS AND DEVELOPERS,"KHASRA NO 140,P.H.NO 40 MAUZA CHIKNA TAHSIL NAGPUR GRAMIN,NAGPUR",Not Available,Not Available,21.1117002,79.0729793,P50500004647,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440015,
SHRI KRISHNA VIHAR,"Plot No 7 , S No 49/2 , Mauje Shegaon",Not Available,Not Available,18.9824149,73.3284445,P50300003987,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444604,
RENUKA DARSHAN,25/5/2 3 4,DEOLALI ROAD,VIHITGAON,19.932413,73.820942,P51600004063,VIHITGAON,Nashik,Nashik,Nashik,MAHARASHTRA,422101,
Rachana Sahira Wing A,4B/514/144/2/2/4B,Not Available,Not Available,21.060035,79.0566,P50500001307,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440005,
SYMPHONY,GUT NO 136 SATARA,Deolai Road,Satara Parisar,19.845898278427,75.3543101402236,P51500002685,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
Anmol Nayantara City One Phase 5,"785/ 1 2 3/1 ,785/1 2 3/6,785/1 2 3/3/3,785/1 2 3/3/1,778/1C,778/2B P,785/1 2 3/9,784/2,785/1 2 3/10",Not Available,Not Available,19.98863,73.771364,P51600001252,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422008,
Dreamzland Business Park PHASE III,"87,88,119 p,113,134,135,138,139,140 142 ,144 p",Not Available,Not Available,20.986411,77.802557,P50300004849,Borgaon,Amravati,Amravati,Amravati,MAHARASHTRA,444901,
Balaji Sanyog,P.H. No. 38A,Not Available,Not Available,21.088209,79.0820627,P50500004586,Besa,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440037,
VENUS HEIGHT,26 AND 27 S/N 32/3,Not Available,Not Available,21.088209,79.0820627,P50300008918,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
Runwal Elina,"684, 685A, 687 1 to 6",Andheri - Kurla Road,Sakinaka,19.099727,72.885186,P51800000072,Kurla,Kurla,Mumbai Suburban,Konkan,MAHARASHTRA,400072,
SHANKARAA SRUSHTI,GUT NO. 167/1 HARSOOL,Jalgaon Road,Harsul,19.919396,75.356343,P51500004524,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
PREMALDEEP,PLOT NO 116,PLOT NO 116 KILVANI NAKA ROAD,KILVANI NAKA,20.16309,73.00222,P49600000089,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
CHANDRAVEL3,"PLOT NO.1 TO 04, 06 TO 20, SURVEY NO. 97/2-2",Nakane Road,chandravel 2,20.92031,74.751006,P49800001074,Walwadi (CT),Dhule,Dhule,Nashik,MAHARASHTRA,424001,
Dreamaland Business Park Phase No IV,"87,88,119,119 p,113,134,135,138,139,140,142 144 p",Not Available,Not Available,20.986218,77.802519,P50300004109,Borgaon,Amravati,Amravati,Amravati,MAHARASHTRA,444901,
MAHALAXMI NAGAR 1,91 PART,MAHARASHTRA,JAMTHA,21.019862,79.040122,P50500001839,Jamtha,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,441122,
NEELAYA,"S NO 393-1,393-2",HIGHWAY MUMBAI-PUNE,TALEGAON,18.721281,73.667479,P52100000013,Talegaon Dabhade (M Cl),Mawal,Pune,Pune,MAHARASHTRA,410506,
SHIVTHIRTH NAGAR 2,8-1,Not Available,Not Available,18.755332,73.6683894,P50500001948,Gotal Panjari,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440034,
Classic Samarth Villa,"Plot No.11, Gut No. 89 PT, Shendra Jahagir",Not Available,Not Available,19.867353,75.47009,P51500007813,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
Dreamz Landmark,"122,123,124/1,124/2,127/4p,127/5p",Not Available,Not Available,20.926368,77.753322,P50300005178,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
Malpanis Batra Residency,"Gut Number 103, Tisgaon, Waluj Mahanagar-I, Aurangabad",Not Available,Not Available,19.854239,75.265851,P51500002970,Tisgaon,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
SHYAM VILLA,"Plot no. 01, Survey No. 23/1",Not Available,Not Available,20.661699,77.02515,P50100007058,Khadki Bk (CT),Akola,Akola,Amravati,MAHARASHTRA,444001,
Shrihari Nakshatra,Gut 19 Nakshtrawadi,Nakshatrawadi to Paithan Road,Nakshatrawadi,19.8065158459048,75.2900935087265,P51500002659,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431002,
SAMRUDDHI BUILDERS,22,BULDANA,BULDANA,20.5601830966137,76.1923539730469,P50000017281,buldana (MCL),Buldana,Buldana,Amravati,MAHARASHTRA,443001,
AKSHAY GALAXY,S.NO. 9/1B,PUNE-SASWAD ROAD,YEWALEWADI,18.434208,73.898376,P52100001730,Market Yard,Haveli,Pune,Pune,MAHARASHTRA,411037,
