Project Name,Promoter Name,Last Modified Date,Certificate,Certificate Date,Do you have any Past Experience ?,Pin Code,Office Number,Website URL,Project Status,Proposed Date of Completion,Revised Proposed Date of Completion,Litigations related to the project ?,Project Type,Are there any Co-Promoters (as defined by MahaRERA Order) in the project ?,Division,District,Taluka,Village,Pin Code,Area(In sqmts),Total Building Count,Aggregate area(In sqmts) of recreational open space,Built-up-Area as per Proposed FSI (In sqmts),Built-up-Area as per Approved FSI (In sqmts),TotalFSI,Bank Name,IFSC Code,Community Buildings Available,Community Buildings Percent,Number of Slab of Super Structure,Number of Open Parking,Number of Closed Parking,Carpet Area (in Sqmts),Excavation,X number of Slabs of Super Structure,"Installation of lifts, water pumps, Fire Fighting Fittings and Equipment as per CFO NOC, Electrical fittings to Common Areas, electro, mechanical equipment, Compliance to conditions of environment /CRZ NOC, Finishing to entrance lobby/s, plinth protection, paving of areas appurtenant to Building/Wing, Compound Wall and all other requirements as may be required to Obtain Occupation /Completion Certificate",Number of Apartment,Number of Booked Apartment,NOA(0-30),NOBA(0-30),NOA(31-45),NOBA(31-45),NOA(46-60),NOBA(46-60),NOA(61-90),NOBA(61-90),NOA(91-120),NOBA(91-120),NOA(121-150),NOBA(121-150),NOA(151-200),NOBA(151-200),NOA(>200),NOBA(>200),1RK,B1RK,1BHK,B1BHK,2BHK,B2BHK,3BHK,B3BHK,4BHK,B4BHK,5BHK & MORE,B5BHK & MORE,SHOP,BSHOP,BUNGLOW,BBUNGLOW,OFFICE,BOFFICE,OTHERS,BOTHERS,FORM 4,CONVEYANCE
Courtyard - Ornella,COURTYARD REAL ESTATE PRIVATE LIMITED,12/04/2021,P51700000681,20/07/2017,No,400098,2267890202,,On-Going Project,31/05/2021,30/05/2023,Yes,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400601,581.03,1,0,5610.09,0,5610.09,KOTAK MAHINDRA BANK,KKBK0000631,NO,0,30,0,0,5351.31,100,25,,111,110,0,0,0,0,110,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
MAYFAIR VISHWARAJA,MAYFAIR HOUSING PRIVATE LIMITED,05/07/2023,P51700000001,09/05/2017,Yes,400058,2267232300,www.mayfairhousing.com,On-Going Project,31/12/2017,30/06/2018,No,Residential,No,Konkan,Thane,Kalyan,Titwala,421605,5847.98,4,878.42,8422.85,0,8422.85,HDFC BANK LIMITED,HDFC0000060,NO,0,13,0,1,7812.89,100,100,,236,62,26,52,35,173,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,62,YES,NO
SAMRIDDHI,A G SUPERSTRUCTURES PVT LTD,27/07/2021,P51700001636,29/07/2017,No,400021,2243439900,www.ashishestates.com,On-Going Project,31/12/2017,31/12/2019,No,Residential,Yes,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401105,14454.5,5,2224.82,57818,0,57818,HDFC BANK LTD,HDFC0000001,NO,0,21,67,124,52147.76,100,100,,1468,1287,840,840,0,0,266,348,181,280,0,0,0,0,0,0,0,0,840,840,0,0,348,266,280,181,0,0,160,94,0,0,0,0,0,0,0,0,YES,NO
K T PREMIA,K T & CO,18/12/2023,P51700002939,04/08/2017,Yes,421302,2522254252,,On-Going Project,31/12/2022,30/12/2023,Yes,Residential,No,Konkan,Thane,Bhiwandi,Bhiwandi (M Corp.),421302,5540,1,424,2609.29,1012,3621.29,HDFC BANK,HDFC0000733,YES,0,15,20,10,3343.82,100,100,,30,0,0,0,0,0,0,4,0,0,0,12,0,14,0,0,0,0,0,0,4,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,0,0,YES,NO
THE PALMS,METRO DEVELOPMENT,01/11/2022,P51700000006,23/05/2017,No,400703,2227839017,www.metrogroupindia.com,On-Going Project,31/12/2018,31/03/2019,Yes,Residential,No,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400706,3680,1,0,5514.29,0,5514.29,HDFC Bank,HDFC0000540,NO,0,14,13,159,5088.97,100,95,,79,79,0,0,1,1,32,32,44,44,0,0,2,2,0,0,0,0,0,0,0,0,33,33,44,44,0,0,2,2,0,0,0,0,0,0,2,2,YES,NO
Virat Vastu,SHREEJI REALTY,06/02/2020,P51700002467,01/08/2017,Yes,421201,2512863842,,On-Going Project,31/12/2018,31/12/2018,No,Others,Yes,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421102,4320,4,494.48,5644,0,5644,Kotak Mahindra Bank,KKBK0001416,NO,0,8,0,6,5372.69,100,100,,146,90,1,6,80,122,9,18,0,0,0,0,0,0,0,0,0,0,1,1,104,65,36,24,0,0,0,0,0,0,0,0,0,0,0,0,145,89,YES,NO
RAUNAK HEIGHTS,UNNATHI ASSOCIATES,15/11/2022,P51700000766,23/07/2017,Yes,400002,2225847000,www.raunakgroup.com,On-Going Project,31/12/2024,30/12/2025,Yes,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400615,5530,2,1494.02,9450,3463,12913,HDFC BANK,HDFC0000488,NO,0,21,21,14,9729.46,100,100,,276,274,0,0,274,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
KIPL Morya,khade Infrastructre Pvt. Ltd.,29/06/2022,P51900010004,23/08/2017,No,400025,7718888240,,On-Going Project,31/12/2018,30/06/2021,No,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400615,5210,2,895.25,5030,3065,8095,HDFC BANK,HDFC0000080,YES,0,18,8,32,9588,50,100,,206,64,0,10,35,126,19,34,10,34,0,0,0,0,0,0,0,0,0,0,124,35,68,29,0,0,0,0,0,0,0,0,0,0,0,0,206,64,YES,NO
jyoti breeze,VENKATESH CONSTRUCTION,20/04/2024,P51700001403,28/07/2017,No,400069,2261447200,,On-Going Project,31/12/2022,30/12/2023,Yes,Residential,No,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107,1061,1,827.51,2540.13,2500,5040.13,hdfc bank,hdfc0000086,NO,0,21,0,80,4232.34,100,100,,105,49,0,0,30,63,19,42,0,0,0,0,0,0,0,0,0,0,0,0,63,30,42,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
PATEL PLANET - JUPITER ,DHANLAXMI DEVELOPERS,03/04/2020,P51700000352,15/07/2017,No,421501,2512603761,,On-Going Project,30/07/2018,30/07/2018,No,Residential,No,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501,2942.38,3,294.23,4971.56,0,4971.56,IDBI BANK,IBKL0000457,YES,20,8,0,0,3838.99,100,70,,124,124,47,47,77,77,0,0,0,0,0,0,0,0,0,0,0,0,3,3,92,92,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
