Project Name,Promoter Name,Last Modified Date,Certificate,Certificate Date,Do you have any Past Experience ?,Pin Code,Office Number,Website URL,Project Status,Proposed Date of Completion,Revised Proposed Date of Completion,Litigations related to the project ?,Project Type,Are there any Co-Promoters (as defined by MahaRERA Order) in the project ?,Division,District,Taluka,Village,Pin Code,Area(In sqmts),Total Building Count,Aggregate area(In sqmts) of recreational open space,Built-up-Area as per Proposed FSI (In sqmts),Built-up-Area as per Approved FSI (In sqmts),TotalFSI,Bank Name,IFSC Code,Community Buildings Available,Community Buildings Percent,Number of Slab of Super Structure,Number of Open Parking,Number of Closed Parking,Carpet Area (in Sqmts),Excavation,X number of Slabs of Super Structure,"Installation of lifts, water pumps, Fire Fighting Fittings and Equipment as per CFO NOC, Electrical fittings to Common Areas, electro, mechanical equipment, Compliance to conditions of environment /CRZ NOC, Finishing to entrance lobby/s, plinth protection, paving of areas appurtenant to Building/Wing, Compound Wall and all other requirements as may be required to Obtain Occupation /Completion Certificate",Number of Apartment,Number of Booked Apartment,NOA(0-30),NOBA(0-30),NOA(31-45),NOBA(31-45),NOA(46-60),NOBA(46-60),NOA(61-90),NOBA(61-90),NOA(91-120),NOBA(91-120),NOA(121-150),NOBA(121-150),NOA(151-200),NOBA(151-200),NOA(>200),NOBA(>200),1RK,B1RK,1BHK,B1BHK,2BHK,B2BHK,3BHK,B3BHK,4BHK,B4BHK,5BHK & MORE,B5BHK & MORE,SHOP,BSHOP,BUNGLOW,BBUNGLOW,OFFICE,BOFFICE,OTHERS,BOTHERS,FORM 4,CONVEYANCE
KRISHNA DARSHAN,KRISHNA BUILDCON,15/04/2024,P51700049959,06/03/2023,No,421503,9175977153,,New Project,31/12/2025,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,517.3,1,0,1671.3,0,1671.3,HDFC BANK,HDFC0008382,NO,0,7,33,0,1061.28,100,5,,34,1,0,14,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
MEERA SQUARE,SARASWATI CORP,27/09/2023,P51700053500,08/11/2023,No,421501,7498992989,,New Project,30/06/2025,,No,Others,No,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501,533,1,0,1076.29,0,1076.29,BANK OF INDIA,BKID0000045,NO,0,7,0,1,646.79,1,0,,17,0,0,5,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,NO,NO
SHREE KRISHNA COMPLEX - WING D,SHREE KRISHNA BUILDERS,22/03/2024,P51700050423,12/04/2023,No,401107,2228110648,,New Project,31/12/2028,,No,Others,No,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107,5400,1,112.62,8891.26,8892,17783.26,IDBI BANK,IBKL0001343,NO,0,16,338,1,6170.89,0,0,,171,0,0,63,0,78,0,30,0,0,0,0,0,0,0,0,0,0,46,0,78,0,30,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,NO,NO
ARISTA SKYLINE,GLEN SQUARE,29/03/2024,P51700050483,17/04/2023,No,421201,2512461777,,New Project,31/12/2028,,No,Residential,Yes,Konkan,Thane,Kalyan,DOMBIVLI,421204,11289,2,804.23,13875.95,13874.05,27750,RBL BANK LIMITED,RATN0000081,YES,0,18,48,72,12001.98,0,0,,282,51,0,0,37,210,14,72,0,0,0,0,0,0,0,0,0,0,0,0,186,13,64,6,0,0,0,0,0,0,0,0,0,0,0,0,32,32,NO,NO
SHREE PRADYUMNA CO. OP. HSG. SOC. LTD.,JOSHI AND YASH REALTORS LLP,20/11/2023,P51700050336,05/04/2023,No,400602,2269157100,,New Project,30/06/2025,,No,Residential,Yes,Konkan,Thane,Thane,Thane (M Corp.),400601,695.7,1,0,2761.2,381.61,3142.81,Axis Bank Ltd,UTIB0004506,NO,0,7,0,1,2297.69,0,0,,50,0,0,11,0,11,0,21,0,6,0,0,0,1,0,0,0,0,9,0,12,0,21,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,NO,YES
GLENDALE,ROMA BUILDERS PRIVATE LIMITED,19/04/2024,P51700019542,08/02/2019,Yes,400021,2225762493,www.hiranandani.com,New Project,30/12/2025,,No,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400607,496.25,1,0,8308.19,50,8358.19,ICICI BANK LIMITED,ICIC0000020,NO,0,29,0,112,7623.99,100,100,,51,51,0,0,0,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,YES,NO
PARTH LAKEFRONT,PARTH WORLD LLP,26/04/2024,P51700018725,29/11/2018,Yes,400063,2240165259,WWW.PARTHGROUP.NET,New Project,31/12/2022,,No,Residential,Yes,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400605,3620,1,0,5400,0,5400,State Bank of India,SBIN0063846,NO,0,25,61,105,6043.91,100,80,,173,129,0,0,129,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
AMBAR VAASTU,BALAJI HOMES,30/03/2022,P51700019194,09/01/2019,No,421501,7998999985,,New Project,30/03/2023,,No,Residential,Yes,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,5290,2,529,5755.02,0,5755.02,DCB Bank,DCBL0000194,NO,0,11,0,0,4554.65,0,0,,148,0,0,69,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
SHIVANG PARADISE,SIDDHIVINAYAK ENTERPRISES,16/02/2023,P51700018944,17/12/2018,No,421605,2516530074,,New Project,30/12/2023,,No,Residential,No,Konkan,Thane,Kalyan,Titwala,421605,438.5,1,0,789.64,0,789.64,IDBI BANK,IBKL0001333,NO,0,6,0,0,916.71,100,0,,31,0,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,YES,NO
Surendra Villa,SHIVKRUPA CONSTRUCTION AND DEVELOPERS PVT LTD,21/04/2022,P51700018907,12/12/2018,No,400604,2225829696,shivkrupagroup.com,New Project,15/07/2021,,No,Residential,No,Konkan,Thane,Thane,Thane (M Corp.),400615,300,1,0,512.85,131,643.85,Thane janata shakari bank,TJSB0000103,NO,0,7,3,0,546.03,100,100,,21,8,7,7,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,YES,NO
Panvelkar Estate - Oxford - Phase 1,Panvelkar Infrastructures Private Limited,29/04/2024,P51700018929,17/12/2018,Yes,421501,2512600034,www.panvelkar.in,New Project,30/12/2023,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,34570.3,4,2931.5,33605.73,0,33605.73,HDFC Bank,HDFC0000816,NO,0,15,0,0,24861.68,75,75,,901,257,199,740,0,0,58,161,0,0,0,0,0,0,0,0,0,0,442,119,298,80,118,58,43,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
BARKU BHOOMI,SHREE DATTA DEVELOPERS,05/03/2024,P51700019020,28/12/2018,No,421306,9920851221,,New Project,30/12/2024,,No,Others,No,Konkan,Thane,Kalyan,Tisgaon,421306,1720,2,0,1995,798,2793,IDBI BANK,IBKL0000456,NO,0,8,0,1,31539.31,100,50,,55,55,0,0,0,0,0,0,6,6,6,6,0,0,0,0,43,43,0,0,34,34,9,9,0,0,0,0,0,0,0,0,0,0,0,0,12,12,YES,NO
AARADHYA HIGHPARK - PROJECT 2 OF PHASE I,MAN VASTUCON LLP,13/07/2023,P51700018244,16/10/2018,No,400089,2242463999,,New Project,30/03/2025,,No,Residential,Yes,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107,527.74,1,0,9718,282,10000,ICICI BANK LIMITED,ICIC0000026,NO,0,31,0,144,7998.84,100,100,,144,138,0,0,24,24,87,90,27,30,0,0,0,0,0,0,0,0,0,0,24,24,90,87,30,27,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
Primus Business Park,HEMANT  KASHIKAR,03/03/2021,P51700018492,12/11/2018,No,400076,2240052288,,New Project,30/10/2022,,No,Commercial,No,Konkan,Thane,Thane,Thane (M Corp.),400604,1012,1,0,2226,0,2226,TJSB Sahakari Bank Ltd,TJSB0000155,NO,0,7,16,32,0,100,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
N G SILVER SPRING PHASE II,RNA Builders (NG),07/06/2023,P51700018291,22/10/2018,Yes,400023,2266236300,www.rnaexperience.com,New Project,30/12/2021,,No,Residential,No,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401101,1875,1,281,2267.2,0,2267.2,KOTAK MAHINDRA BANK,KKBK0000957,NO,0,13,11,1,2069.18,100,30,,47,0,0,0,0,24,0,23,0,0,0,0,0,0,0,0,0,0,0,0,24,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,YES,NO
N G DIAMOND HILL B PHASE I,RNA Builders (NG),07/06/2023,P51700018254,17/10/2018,Yes,400023,2266236300,www.rnaexperience.com,New Project,30/12/2021,,No,Residential,No,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107,1193,1,179,1934,0,1934,KOTAK MAHINDRA BANK,KKBK0000957,NO,0,10,7,1,1808.1,100,50,,35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,YES,NO
The Icon Phase 1,Leading Frontier Private Limited,05/02/2024,P51700018370,26/10/2018,No,400607,8591051652,http://www.rislandindia.com,New Project,30/12/2022,,Yes,Others,Yes,Konkan,Thane,Thane,Thane (M Corp.),400608,6236.86,2,0,24277.18,0,24277.18,YES BANK LTD,YESB0000268,YES,0,25,15,208,22432.18,100,100,,364,361,0,2,0,0,220,220,141,142,0,0,0,0,0,0,0,0,0,0,0,0,220,220,142,141,0,0,0,0,2,0,0,0,0,0,362,361,NO,NO
AMEYA GARDEN PHASE-I,AMEYA ENTERPRISES,14/03/2024,P51700019092,04/01/2019,No,421306,9987117526,,New Project,29/08/2024,,No,Others,Yes,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421306,4270,3,567,5098,707,5805,BANK OF INDIA,BKID0000126,NO,0,7,0,0,6085.95,100,100,,179,51,33,47,18,117,0,14,0,0,0,0,0,0,0,1,0,0,7,4,138,34,27,11,0,0,0,0,0,0,6,2,0,0,0,0,1,0,YES,NO
OM SHAKTI,SHREE JASRAJ DEVELOPERS,25/08/2021,P51700019097,04/01/2019,No,421202,8898855891,,New Project,28/02/2022,,No,Residential,No,Konkan,Thane,Kalyan,,421202,751.5,1,0,742.58,778.06,1520.64,ICICI BANK,ICIC0001880,NO,0,8,0,0,683.7,0,0,,22,0,0,9,0,9,0,3,0,1,0,0,0,0,0,0,0,0,9,0,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
SAI VRINDAVAN,K T REALTY,11/11/2023,P51700019120,04/01/2019,No,410210,9930002500,,New Project,05/10/2023,,No,Residential,No,Konkan,Thane,Thane,,400706,1564.95,1,768,2335.87,0,2335.87,HDFC BANK,HDFC0001102,NO,0,25,8,56,4116.57,100,100,,55,47,0,0,11,12,0,0,20,21,15,21,0,0,1,1,0,0,0,0,0,0,21,20,21,15,0,0,1,1,0,0,0,0,0,0,13,12,YES,NO
SIDDHIVINAYAK VILLAS,VIJAY VASDEV BATHIJA,02/01/2019,P51700019527,06/02/2019,No,410206,83698626838,,New Project,30/12/2024,,No,Plots,No,Konkan,Thane,Shahapur,Satgaon,421601,15720,0,1572,5671.32,0,5671.32,CANARA BANK,CNRB0000102,YES,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO
PANVELKAR DAFFODIL,AMEYA DEVELOPERS,17/08/2021,P51700019159,09/01/2019,No,421501,2512600031,,New Project,30/04/2019,,No,Residential,Yes,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501,832.1,1,0,831.21,0,831.21,DNS BANK,DNSB0000007,NO,0,5,0,0,746.87,100,100,,23,20,9,12,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
KESARI PARK,VIJAYA CONSTRUCTION,12/01/2019,P51700019272,15/01/2019,No,421101,2512435223,,New Project,15/01/2025,,No,Residential,Yes,Konkan,Thane,Shahapur,Shahapur (CT),421601,717,1,0,814.64,0,814.64,GP PARSIK BANK,PJSB0000021,NO,0,5,2,1,620.07,0,0,,20,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NO,NO
Krishna Vihar Co-operative Housing Society Limited,BAL GANAPATI LAABH DEVELOPERS,30/12/2022,P51700019510,06/02/2019,No,400602,2225370777,,New Project,30/12/2021,,No,Others,Yes,Konkan,Thane,Thane,Thane (M Corp.),400602,584.54,1,0,1007.57,2.08,1009.65,Thane Bharat Sahakari Bank Ltd,TBSD0000005,NO,0,8,26,0,358.68,100,31,,10,9,3,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,3,0,0,5,4,0,0,YES,NO
SHREE SAI PARADISE,SHREE JARI MARI BUILDERS AND DEVELOPERS,15/11/2022,P51700019164,09/01/2019,No,421306,9867239489,,New Project,30/12/2022,,No,Others,Yes,Konkan,Thane,Ambarnath,Badlapur (M Cl),421502,1210,2,0,1437,0,1437,FEDERAL BANK,FDRL0001542,NO,0,5,0,0,1127.05,0,0,,47,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,YES,NO
VRINDAVAN,SHIVRAJ DEVELOPERS,07/04/2023,P51700020946,23/05/2019,No,421202,9619869048,,New Project,31/07/2024,,No,Residential,No,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421203,1072,1,0,975.03,0,975.03,THE ABHINAV SAHAKARI BANK,SVCB0007004,NO,0,7,0,0,1695.48,0,0,,55,23,12,27,11,26,0,2,0,0,0,0,0,0,0,0,0,0,18,11,30,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,NO,NO
Ganaraya Krupa,Samarth Construction,13/08/2023,P51700021029,27/05/2019,Yes,421503,2512060000,,New Project,30/03/2023,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,1250,2,0,1493.26,0,1493.26,IDBI Bank Ltd,IBKL0000661,NO,0,5,0,0,1442.7,0,0,,27,0,0,12,0,8,0,2,0,1,0,2,0,0,0,0,0,2,8,0,5,0,4,0,2,0,0,0,0,0,5,0,0,0,0,0,4,0,YES,NO
SHIVSHAKTI MANOHAR RESIDENCY,SHIVSHAKTI DEVELOPERS,03/03/2022,P51700019841,05/03/2019,No,421503,2512885671,,New Project,30/12/2026,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,2633,1,263,2633,0,2633,KOTAK MAHINDRA BANK,KKBK0001349,NO,0,5,25,0,4375.28,0,0,,138,0,0,36,0,90,0,12,0,0,0,0,0,0,0,0,0,0,28,0,90,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,YES,NO
AVIGHNA KARAN WING B,AVIGHNA KARAN,27/06/2023,P51700019360,23/01/2019,No,421201,9702169959,,New Project,30/03/2023,,No,Residential,No,Konkan,Thane,Kalyan,KATEMANEVALI,421306,1320,1,0,1033.83,0,1033.83,KOTAK MAHINDRA BANK LTD,KKBK0000627,NO,0,8,0,8,1386.34,100,100,,35,5,0,0,3,29,2,6,0,0,0,0,0,0,0,0,0,0,0,0,29,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
Flower Valley,Shree Sai Vastu Hills,03/04/2019,P51700020400,09/04/2019,Yes,421605,9967458317,,New Project,30/06/2022,,No,Residential,Yes,Konkan,Thane,Kalyan,Nandap,421605,7080,7,708,4570.99,2509.01,7080,Bank Of Baroda,BARB0TITWAL,NO,0,4,0,1,3834.99,28.5714285714286,2.85714285714286,,102,0,0,3,0,93,0,6,0,0,0,0,0,0,0,0,0,0,0,0,90,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
SHREE SHRIPAT VILLA,SHREE SHRIPAT BUILDERS & DEVELOPERS,18/10/2019,P51700022688,12/10/2019,No,421204,2235965164,,New Project,30/09/2023,,No,Others,No,Konkan,Thane,Thane,Thane (M Corp.),421204,3500,1,728.03,3096.74,5461.32,8558.06,IDBI BANK,IBKL0000302,NO,0,7,10,14,1626.15,0,0,,74,0,0,69,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,33,0,5,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,NO,NO
BALAJI DARSHAN,BALAJI BUILDERS AND DEVELOPERS,05/11/2019,P51700023018,14/11/2019,No,421202,9870483322,,New Project,30/03/2023,,No,Residential,No,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421201,872.39,1,0,1143.48,5000,6143.48,SYNDICATE BANK,SYNB0005480,NO,0,6,0,0,1143.48,100,20,,23,0,0,4,0,2,0,8,0,9,0,0,0,0,0,0,0,0,4,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
NEW SHIV MAHIMA CHS LTD,SHIV MAHIMA DEVELOPERS,12/02/2024,P51700023860,08/01/2020,No,421501,2515682792,,New Project,30/03/2025,,No,Residential,Yes,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501,635,1,0,1098.89,0,1098.89,IDBI BANK,IBKL0000457,NO,0,6,0,0,1387.87,100,100,,49,37,11,21,26,28,0,0,0,0,0,0,0,0,0,0,0,0,10,8,28,27,0,0,0,0,0,0,0,0,8,2,0,0,0,0,3,0,NO,NO
MANGESHI DAZZLE II,KALYAN DEVELOPMENT CORPORATION,23/03/2024,P51700024511,18/02/2020,Yes,421201,2512207574,,New Project,30/12/2028,,No,Residential,Yes,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421201,8445.81,4,782,10262.13,0,10262.13,THANE BHARAT SAHAKARI BANK LTD,TBSB0000009,NO,0,13,13,0,9372.3,0,0,,178,3,0,26,0,7,2,75,0,69,0,0,0,0,1,1,0,0,0,0,1,0,126,2,22,0,0,0,0,0,15,0,1,1,13,0,0,0,YES,NO
Bhoomi Acres L wing,V R Constructors Private Limited,05/08/2022,P51700020184,29/03/2019,Yes,400102,2225972365,,New Project,30/12/2022,,Yes,Others,No,Konkan,Thane,Thane,Thane (M Corp.),400615,661.39,1,0,8015.36,3587.52,11602.88,CANARA Bank,CNRB0000227,NO,0,26,0,0,10895.06,99,99,,223,58,3,23,27,66,15,100,13,34,0,0,0,0,0,0,0,0,16,3,62,27,100,15,34,13,0,0,34,13,11,0,0,0,0,0,0,0,YES,NO
SUNDARAM,M/S. PURAB ASSOCIATES,07/04/2023,P51700016386,10/05/2018,Yes,400086,9323386173,,New Project,31/01/2020,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,486.83,1,0,914.33,0,914.33,ICICI BANK,ICIC0000420,NO,0,5,4,0,716.66,100,100,,11,0,0,1,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,YES,NO
Mercury Paradise,Mercury Infra,07/05/2018,P51700016405,10/05/2018,No,421503,2512691000,,New Project,30/12/2020,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,1429.48,1,0,1315.18,0,1315.18,Federal Bank Limited,FDRL0001755,NO,0,5,0,0,998.36,20,0,,48,0,0,44,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,27,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,NO,NO
SAI KANHUJIPOLICE SANKUL,HARSHAD BALU GAWADE,22/04/2024,P51700016588,23/05/2018,No,421301,9322507486,,New Project,30/05/2024,,No,Residential,Yes,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421301,9200,5,1109.55,9513.4,2280,11793.4,IDBI BANK,IBKL0000456,NO,0,11,0,13,9102.44,100,20.6,,236,112,0,0,76,160,36,76,0,0,0,0,0,0,0,0,0,0,0,0,160,76,76,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
GAMI VIVAAN,AMBALAL BHANJI GAMI,03/07/2021,P51700017119,13/07/2018,Yes,400703,2227815591,,New Project,30/12/2021,,No,Others,No,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400709,1741.95,1,132.14,2609.55,3.36,2612.91,ABHYUDAYA CO-OP BANK LTD,ABHY0065016,NO,0,13,17,60,2396.78,100,100,,66,29,8,25,13,28,8,11,0,2,0,0,0,0,0,0,0,0,0,0,35,15,12,6,12,8,0,0,0,0,0,0,0,0,0,0,7,0,YES,NO
MAHAVIR ARCADE,NAVIN KAMLAPRASAD SINGH,24/07/2021,P51700016477,18/05/2018,No,421202,9821511777,,New Project,18/07/2023,,No,Others,No,Konkan,Thane,Kalyan,Kalyan,421301,1681.38,2,0,2426.61,0,2426.61,RBL BANK LIMITED,RATN0000081,NO,0,8,0,1,2196.21,0,0,,54,0,0,15,0,15,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,NO,NO
KRISHNA EMPIRE,L K EARTH DEVELOPERS PRIVATE LIMITED,28/01/2021,P51700017736,11/09/2018,No,400709,2227660091,,New Project,28/02/2021,,No,Others,No,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400701,763.4,1,0,763.4,0,763.4,UNION BANK OF INDIA,UBIN0537896,NO,0,8,2,1,700.42,0,0,,24,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,YES,NO
SAI SIDDHI RESIDENCY,DEVENDRA DAMODAR PATIL,13/04/2023,P51700018663,22/11/2018,No,421204,9326295857,,New Project,30/03/2022,,No,Residential,Yes,Konkan,Thane,Kalyan,DOMBIVLI,421204,850,1,0,795.11,0,795.11,KOTAK MAHINDRA BANK,KKBK0000628,NO,0,8,15,14,782.88,100,100,,21,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,YES,NO
Palava Florea - A to D,Palava Dwellers Private Limited,26/02/2024,P51700017487,23/08/2018,Yes,400001,2261959642,www.lodhagroup.com,New Project,31/07/2023,,Yes,Residential,No,Konkan,Thane,Kalyan,Khoni,421204,5060.29,4,2975.3,20518.16,6319,26837.16,HDFC Bank Ltd,HDFC0000501,YES,100,12,18,92,18161.21,90.75,75,,388,233,0,0,109,182,124,206,0,0,0,0,0,0,0,0,0,0,0,0,205,109,183,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
Trident Tower,SHRI KRISHNA HOMES,20/12/2023,P51700017751,11/09/2018,No,421503,2512711781,,New Project,30/12/2022,,No,Residential,Yes,Konkan,Thane,Ambarnath,,421503,3502,2,3502,7472.6,0,7472.6,IDBI BANK,IBKL0000661,NO,0,17,1,10,8270.11,100,100,,126,80,0,0,20,27,54,68,4,13,2,6,0,5,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,80,YES,NO
TROPICAL ELITE PHASE 2,SCHEMA ENTERPRISES PRIVATE LIMITED,11/04/2023,P51700018220,15/10/2018,Yes,400081,2249504950,,New Project,30/12/2021,,No,Commercial,No,Konkan,Thane,Thane,Thane (M Corp.),400602,990.01,1,0,605.89,0,605.89,HDFC BANK,HDFC0000146,NO,0,1,0,0,559.62,100,0,,10,10,0,0,2,2,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,NO,NO
MUKUNDAM,Shree Ramjeevdani Realtors,08/04/2024,P51700017888,24/09/2018,No,401101,2228184715,,New Project,29/08/2024,,No,Residential,Yes,Konkan,Thane,Thane,BHAYANDAR,401101,1076,2,0,15982.72,10712,26694.72,SARASWAT COOPERATIVE BANK LTD,SRCB0000142,NO,0,25,0,93,8075.86,100,50,,146,0,0,0,0,50,0,0,0,96,0,0,0,0,0,0,0,0,0,0,50,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO
SHREE RESIDENCY,SHREE DEVELOPERS,17/02/2020,P51700022360,16/09/2019,No,421503,0,,New Project,31/12/2019,,No,Residential,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,521.74,1,521.74,924.97,0,924.97,TJSB BANK,TJSB0000059,NO,0,5,5,0,596.2,100,100,,20,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,NO
GAIKAR RESIDENCY,H P DEVELOPERS,16/11/2022,P51700022649,09/10/2019,No,421501,9921080251,,New Project,30/06/2022,,No,Others,Yes,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501,10000,1,1000,4684,4316,9000,IDBI BANK LTD,IBKL0000457,NO,0,8,0,0,3814.81,100,75,,115,67,2,19,44,64,21,32,0,0,0,0,0,0,0,0,0,0,0,0,64,44,32,21,0,0,0,0,0,0,0,0,0,0,0,0,19,2,NO,NO
ORIENT LEGACY,JEWEL ORIENT,27/04/2024,P51700021264,14/06/2019,No,400089,2225274120,,On-Going Project,30/06/2023,30/06/2022,No,Others,No,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503,4980,3,0,13394.41,0,13394.41,ABHYUDAYA CO OP BANK LIMITED,ABHY0065054,NO,0,16,27,8,8515.98,100,83.3333333333333,,216,132,26,53,75,101,29,52,2,6,0,2,0,0,0,2,0,0,10,10,64,59,67,47,0,0,0,0,0,0,5,0,0,0,3,0,67,16,YES,NO
BHAGWATI BELMONT,BHAGWATI VENTURES LLP,29/03/2024,P51700021397,26/06/2019,No,400705,2227816115,,New Project,30/06/2025,,No,Others,Yes,Konkan,Thane,Thane,Thane (M Corp.),400607,4100,3,624.97,6929.45,1500,8429.45,KOTAK MAHINDRA BANK,KKBK0000669,NO,0,28,0,1,9626.16,100,60.6666666666667,,222,99,0,19,81,145,5,15,13,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,99,NO,NO
MAHATMA RESIDENCY,RAJMAN RAJPAT YADAV,16/03/2021,P51700021404,26/06/2019,No,401105,2228043509,,New Project,30/12/2024,,No,Others,No,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401101,668.2,1,162.6,1165.72,0,1165.72,INDUSIND BANK,INDB0000582,NO,0,8,5,1,1341.76,0,0,,26,5,2,8,0,5,3,10,0,1,0,0,0,0,0,1,0,1,0,0,5,0,11,3,0,0,0,0,0,0,8,2,0,0,0,0,2,0,NO,NO
